id_transacao;data_venda;id_loja;id_produto;quantidade;preco_unitario;desconto_percentual;vendedor;forma_pagamento
5092;17/01/2025;104;1004;42;R$ 41,65;10,7%;Carlos  Souza;Cartão Crédito
5047;07/01/2025;105;1010;32;R$ 63,70;17,9%;Ana Silva;Dinheiro
5129;09/01/2025;102;1007;32;R$ 53,90;11,8%;Fernanda Costa;Cartão Crédito
5104;04/01/2025;102;1008;6;R$ 64,52;24,5%;João Pereira;Cartão Débito
5099;23/01/2025;102;1004;44;R$ 12,24;19,1%;ana silva;
5005;11/01/2025;104;1006;21;R$ 11,95;13,4%;Maria Lima;Cartão Crédito
5050;2025-01-19;103;1014;23;R$ 67,01;11,4%;ana silva;PIX
5102;12/01/2025;104;1002;39;R$ 9,79;6,8%;Carlos  Souza;PIX
5009;2025-01-12;104;1005;47;R$ 40,98;13,2%;Carlos  Souza;Cartão Débito
5146;17/01/2025;102;1004;29;R$ 57,88;10,6%;MARIA LIMA;Cartão Débito
5015;10/01/2025;104;1001;35;R$ 57,57;13,7%;MARIA LIMA;Dinheiro
5095;03/01/2025;101;1009;43;R$ 13,61;20,9%;Maria Lima;Cartão Débito
5128;27/01/2025;105;1006;34;R$ 67,96;14,1%;João Pereira;Boleto
5126;01/01/2025;105;1005;1;R$ 13,65;5,5%;;
5137;2025-01-25;104;1008;5;R$ 87,30;20,4%;Fernanda Costa;Cartão Débito
5052;27/01/2025;101;1002;27;R$ 27,87;12,2%;Carlos  Souza;
5017;30/01/2025;105;1010;17;R$ 77,50;;João Pereira;Cartão Crédito
5133;20/01/2025;103;1014;45;R$ 78,55;16,1%;Carlos  Souza;Boleto
5135;2025-01-08;101;1014;16;R$ 86,72;17,3%;João Pereira;Dinheiro
5025;09/01/2025;104;1006;41;R$ 53,22;18,0%;Carlos Souza;Cartão Débito
5044;28/01/2025;102;1008;40;R$ 73,87;24,9%;Maria Lima;Cartão Débito
5010;02/01/2025;104;1009;33;R$ 37,93;19,2%;  Ana Silva ;Boleto
5086;07/01/2025;102;1012;23;R$ 71,89;5,5%;ana silva;PIX
5149;22/01/2025;105;1006;5;R$ 57,72;1,7%;  Ana Silva ;PIX
5081;2025-01-23;101;1001;15;R$ 42,25;0,8%;Carlos  Souza;Boleto
5106;2025-01-31;102;1001;32;R$ 10,83;13,8%;;Dinheiro
5042;2025-01-15;101;1015;31;R$ 76,50;22,0%;  Ana Silva ;
5041;2025-01-16;105;1015;42;R$ 31,06;17,3%;Maria Lima;Cartão Crédito
5085;2025-01-13;102;1014;32;R$ 68,51;19,5%;João Pereira;Dinheiro
5066;26/01/2025;105;1012;35;R$ 12,41;19,3%;;Cartão Crédito
5101;30/01/2025;103;1006;5;R$ 64,06;;ana silva;Boleto
5145;2025-01-08;105;1005;22;R$ 48,70;10,1%;João Pereira;
5091;2025-01-24;101;1009;49;R$ 50,98;7,7%;Ana Silva;Cartão Débito
5007;2025-01-24;105;1006;33;R$ 44,41;24,2%;Carlos Souza;Boleto
